"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAP1",417.672026429692,2.01163851891934,0.550735584677434,3.65263944238788,0.00025955856483595,0.0311926479588246
"WDR54",356.272366510378,1.66753307914265,0.456728205210629,3.65104029074279,0.00026118025886863,0.0311926479588246
"GBP2",12430.7205419582,-1.79669255192555,0.492840141800668,-3.64558890304888,0.000266780164069711,0.0316386349822253
"GLTP",2820.83541146631,-1.63080704041556,0.447913901175289,-3.64089401140812,0.000271692974037975,0.0317566182484159
"FJX1",297.7625024301,2.56152583568885,0.703853522663319,3.63928822291926,0.000273392668451484,0.0317566182484159
"APOBEC3C",1303.87550778462,-0.797777183747207,0.219009931861951,-3.64265299278789,0.000269842497365119,0.0317566182484159
"ALDH18A1",5258.69732117802,1.16112063953371,0.319779379764484,3.63100535246792,0.000282319328754015,0.0325704319478867
"CSMD2",437.784934657047,4.09961130358612,1.13098569685007,3.62481268773252,0.000289170961045113,0.0329551426032382
"MUC4",2105517.15295759,-2.76484470615842,0.762824645514708,-3.62448266769471,0.000289540435631964,0.0329551426032382
"GBP1",18794.2439101873,-1.59401288530595,0.440312041542898,-3.62018917247951,0.000294387705410911,0.0332834739737577
"ZDHHC13",3579.38903602343,-0.854897180700002,0.23636407010317,-3.61686605044011,0.000298191515304168,0.0334902642916781
"WDR47",2364.78257188282,-0.955210950143464,0.264508377917219,-3.61126916910893,0.000304702214556659,0.0339963477412261
"PAQR5",365.74868345419,2.81843679890097,0.784826933530433,3.59115707997256,0.000329213134610832,0.036491016665785
"SERPINA1",3865.17665913818,2.96903928245765,0.828099331178749,3.58536611571876,0.000336605654685712,0.0370259531540745
"RP1",417.007536735339,4.02314391000349,1.12306329208288,3.58229490569673,0.000340588990626547,0.0370259531540745
"IMPDH2",7528.11914873933,1.05124342925037,0.293375544957674,3.58326877382379,0.000339321141123206,0.0370259531540745
"IFI16",45532.8982565308,-1.49031252936532,0.4165016537215,-3.57816713583047,0.000346012171457767,0.0373759262149826
"ZNF431",5865.26906113001,-1.2448456478941,0.349587494661867,-3.56089867887911,0.000369587688495444,0.0396698582860395
"P2RY1",1512.08703731387,-2.11682850558774,0.59544976285197,-3.555007722984,0.000377967987298724,0.0403142081547111
"AXL",2373.06795075062,1.53665706700881,0.433674666947268,3.54334062864607,0.0003950920296646,0.0408558886041583
"IQCB1",3649.35742687022,-1.02369983768219,0.288553218935799,-3.54769855438679,0.000388612715330874,0.0408558886041583
"BIRC3",5311.51389488684,3.06313344788933,0.863799094942809,3.54611791772268,0.000390951224998351,0.0408558886041583
"ZNF234",447.254643724209,-3.07459597150127,0.867704861926722,-3.54336607573477,0.00039505390395752,0.0408558886041583
"GRAMD1B",929.821161435737,3.0727258298912,0.866132821691209,3.54763813694464,0.00038870186052394,0.0408558886041583
"EMP3",1145.4360754157,2.28595272943637,0.645900331730882,3.53917255826527,0.000401383383854502,0.0409179025304054
"CPA6",459.071055266504,-3.4093557980773,0.963596454129127,-3.53815726849949,0.000402929991307135,0.0409179025304054
"TFAP2C",1146.93656936428,-0.996822556665844,0.281628420454226,-3.53949560579899,0.000400892444512748,0.0409179025304054
"HTR1D",18.8644018427546,6.10948152542423,1.72934797372719,3.53282371057847,0.000411146534617406,0.0415037742891463
"TRIM9",38.8166018764013,4.35460978389549,1.23331931931081,3.53080480919481,0.00041429735666334,0.0415743720216188
"FERMT2",625.550221270394,2.26306118110148,0.641292306748363,3.52890742222717,0.000417279079319288,0.0416272700363283
"PXDN",4718.23960443079,2.35329201411243,0.667630575567899,3.5248415819043,0.000423736115208356,0.042024215074962
"SH3KBP1",1696.48670608223,1.69271047615971,0.481918728051407,3.51243970742541,0.000444012735156845,0.0432759308938215
"DPYD",14270.3635712847,-1.61383925329014,0.459336116046838,-3.51341685730973,0.000442382838530977,0.0432759308938215
"LEPR",1508.70317602469,1.76578448649653,0.502551839751486,3.51363649841522,0.000442017244334063,0.0432759308938215
"TMEM263",174.4429858196,1.29774278795316,0.369748075787053,3.50980268170634,0.000448439339816111,0.043457615793951
"STX2",366.369150395838,1.15928532400896,0.330644962180202,3.50613333517886,0.000454667394804319,0.0438108201618548
"SOX13",2019.75840407667,-1.44844833476409,0.413742001318594,-3.50084915272776,0.000463778276685713,0.0444362474254972
"DENND5B",752.09040010551,2.08266350922438,0.595707610778649,3.49611700696946,0.000472081644817874,0.0449777113172266
"FANCE",3759.12527221579,-1.17716173939561,0.337226233032484,-3.49071817103333,0.000481724118392713,0.0456399962224694
"HERC6",3344.24559553381,-1.52536545108244,0.43817577963907,-3.4811724471373,0.000499223966679504,0.0470352180606539
"DHFRL1",170.256492437879,-2.8040298769522,0.806737704700789,-3.47576400683069,0.000509400328931817,0.0472072140893698
"TCHP",1423.90336171036,-1.03315034568485,0.297177408094534,-3.47654403579764,0.000507920810583464,0.0472072140893698
"PTP4A1",3790.5719236187,2.17306533480448,0.624808535247343,3.47796998954924,0.000505226485906866,0.0472072140893698
"GPR98",695.811710327145,-4.52756075274106,1.30515436177284,-3.46898488435584,0.000522428846569882,0.0478911935620466
"NFIA",5311.80716238734,-0.96035430951014,0.276747951341832,-3.47014062743299,0.000520185934223429,0.0478911935620466
"PHLPP1",2132.22645607885,-1.12754133240195,0.325344907161607,-3.46567998324889,0.000528892394550033,0.0482230436514732
